signal_date,code,name,close,vol_sigma,sentiment,insight
2025-11-10,5930.0,삼성전자,100600,4.196,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-10,98460.0,고영,20350,3.551,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-10,35720.0,카카오,62300,3.187,🔴 약세,거래대금이 동반된 하락 구간입니다. 손절·투매 또는 악재 해석 구간일 수 있어 관련 뉴스·공시를 함께 확인하는 것이 좋습니다.
2025-11-10,486990.0,노타,55500,3.02,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-10,86520.0,에코프로,87900,2.993,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-10,34020.0,두산에너빌리티,79600,2.985,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-10,15760.0,한국전력,46250,2.836,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-10,222800.0,심텍,53700,2.816,🔴 약세,거래대금이 동반된 하락 구간입니다. 손절·투매 또는 악재 해석 구간일 수 있어 관련 뉴스·공시를 함께 확인하는 것이 좋습니다.
2025-11-10,7660.0,이수페타시스,117100,2.759,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-11,660.0,SK하이닉스,619000,4.297,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-11,5930.0,삼성전자,103500,4.18,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-11,86520.0,에코프로,94100,3.618,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-11,35720.0,카카오,64100,3.366,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-11,15760.0,한국전력,49550,3.323,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-11,469610.0,이노테크,67100,3.305,🔴 약세,거래대금이 동반된 하락 구간입니다. 손절·투매 또는 악재 해석 구간일 수 있어 관련 뉴스·공시를 함께 확인하는 것이 좋습니다.
2025-11-11,456160.0,지투지바이오,89600,3.135,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-11,34020.0,두산에너빌리티,78200,2.928,🔴 약세,거래대금이 동반된 하락 구간입니다. 손절·투매 또는 악재 해석 구간일 수 있어 관련 뉴스·공시를 함께 확인하는 것이 좋습니다.
2025-11-11,990.0,DB하이텍,69100,2.876,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-11,35420.0,NAVER,263000,2.857,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-12,660.0,SK하이닉스,613000,3.937,🔴 약세,거래대금이 동반된 하락 구간입니다. 손절·투매 또는 악재 해석 구간일 수 있어 관련 뉴스·공시를 함께 확인하는 것이 좋습니다.
2025-11-12,5930.0,삼성전자,103400,3.879,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-12,298380.0,에이비엘바이오,164000,3.671,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-12,68270.0,셀트리온,195900,3.336,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-12,34020.0,두산에너빌리티,83300,3.322,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-12,15760.0,한국전력,49600,3.202,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-12,456160.0,지투지바이오,92500,2.942,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-12,86520.0,에코프로,94700,2.851,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-12,1440.0,대한전선,26850,2.826,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-12,196170.0,알테오젠,553000,2.764,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-13,000660,SK하이닉스,612000,4.038,🔴 약세,거래대금이 동반된 하락 구간입니다. 손절·투매 또는 악재 해석 구간일 수 있어 관련 뉴스·공시를 함께 확인하는 것이 좋습니다.
2025-11-13,005930,삼성전자,102800,3.995,🔴 약세,거래대금이 동반된 하락 구간입니다. 손절·투매 또는 악재 해석 구간일 수 있어 관련 뉴스·공시를 함께 확인하는 것이 좋습니다.
2025-11-13,298380,에이비엘바이오,163500,3.566,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-13,068270,셀트리온,195100,3.252,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-13,034020,두산에너빌리티,83100,3.252,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-13,015760,한국전력,49250,3.131,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-13,456160,지투지바이오,92200,2.848,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-13,086520,에코프로,94700,2.779,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-13,196170,알테오젠,549000,2.776,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
2025-11-13,373220,LG에너지솔루션,484500,2.752,🟢 강세,가격과 거래대금이 동시에 평균을 뚜렷하게 상회하는 상승 패턴입니다. 단기 수급이 과열될 수 있어 추격 매수 시 변동성 관리가 필요합니다.
